job_title,company,location,link,description
"Senior Professional Services, Technical Architect - US",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8334735002,
"Senior PSIRT Security Engineer, EMEA",Gitlab,"Remote, EMEA",https://job-boards.greenhouse.io/gitlab/jobs/8247677002,
Senior Sales Recruiter,Gitlab,"Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8364336002,
"Senior Site Reliability Engineer, Environment Automation",Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8136108002,
Senior Technical Architect - Japan ,Gitlab,"Remote, Japan",https://job-boards.greenhouse.io/gitlab/jobs/8346396002,
"Software Engineering Manager, Application Security Testing: Composition Analysis & Dynamic Analysis",Gitlab,Remote,https://job-boards.greenhouse.io/gitlab/jobs/8002169002,
Solution Architect - Ecosystems APAC,Gitlab,"Remote, Singapore",https://job-boards.greenhouse.io/gitlab/jobs/8335604002,
Solutions Architect - Commercial,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8344394002,
"Solutions Architect, DACH",Gitlab,"Remote, Germany",https://job-boards.greenhouse.io/gitlab/jobs/8377959002,
Solutions Architect - New Business,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8344406002,
"Solutions Architect, West",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8345584002,
"Staff Backend Engineer, Developer Experience (Ruby)",Gitlab,"Remote, APAC; Remote, Canada; Remote, EMEA; Remote, Netherlands; Remote, United Kingdom",https://job-boards.greenhouse.io/gitlab/jobs/8199765002,
"Staff Engineer, GitLab Delivery - Operate",Gitlab,"Remote, Americas; Remote, EMEA",https://job-boards.greenhouse.io/gitlab/jobs/8225800002,
"Staff Product Designer, Knowledge Graph",Gitlab,"Remote, Canada; Remote, France; Remote, Germany; Remote, Ireland; Remote, Netherlands; Remote, Spain; Remote, United Kingdom; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8360847002,
"Staff Product Manager, Software Supply Chain Security",Gitlab,"Remote, Canada; Remote, Ireland; Remote, Israel; Remote, Netherlands; Remote, United Kingdom; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8332463002,
Staff Workday Analyst,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8365352002,
"Strategic Account Executive - Financial Services Industry, Spain  ",Gitlab,"Remote, Spain",https://job-boards.greenhouse.io/gitlab/jobs/8321192002,
Strategic Account Executive - Germany,Gitlab,"Remote, Germany",https://job-boards.greenhouse.io/gitlab/jobs/8307161002,
Strategic Account Executive - Israel,Gitlab,"Remote, Israel",https://job-boards.greenhouse.io/gitlab/jobs/8289546002,
"Strategic Account Executive - LATAM, Mexico City",Gitlab,"Remote, Mexico",https://job-boards.greenhouse.io/gitlab/jobs/8282014002,
"Strategic Account Executive - Milan, Italy",Gitlab,"Remote, Italy",https://job-boards.greenhouse.io/gitlab/jobs/8392210002,
Strategic Account Executive - Paris ,Gitlab,"Remote, France",https://job-boards.greenhouse.io/gitlab/jobs/8307181002,
Strategic Account Executive -San Francisco ,Gitlab,Remote,https://job-boards.greenhouse.io/gitlab/jobs/8329372002,
"Strategic Account Executive -Telco, Nordics ",Gitlab,"Remote, Sweden",https://job-boards.greenhouse.io/gitlab/jobs/8300441002,
"Support Engineer, U.S. Government Support",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8389856002,
Technical Program Manager,Gitlab,"Remote, Canada; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8364482002,
UX Researcher ,Gitlab,"Remote, Canada; Remote, France; Remote, Germany; Remote, Ireland; Remote, Netherlands; Remote, Spain; Remote, United Kingdom; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8365071002,
"UX Researcher, AI",Gitlab,"Remote, Canada; Remote, EMEA; Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8364868002,
"Vice President, Business Systems",Gitlab,"Remote, US",https://job-boards.greenhouse.io/gitlab/jobs/8245371002,
Zuora Engineer,Gitlab,"Remote, APAC",https://job-boards.greenhouse.io/gitlab/jobs/8384132002,
Account Executive ,Twilio,Remote - United Kingdom,https://job-boards.greenhouse.io/twilio/jobs/7567104,
Analyst Relations Director,Twilio,Remote - US,https://job-boards.greenhouse.io/twilio/jobs/7245129,
Application Integration Engineer,Twilio,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/7312780,
"Assistant Counsel, Government, Policy and Regulatory Affairs",Twilio,Remote - Australia,https://job-boards.greenhouse.io/twilio/jobs/7435217,
Business Intelligence Analyst 2,Twilio,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/7280493,
Business Intelligence Analyst 3,Twilio,Remote - Colombia,https://job-boards.greenhouse.io/twilio/jobs/7292353,
Cloud Software Engineer,Twilio,Remote - Ireland,https://job-boards.greenhouse.io/twilio/jobs/7484699,
Conversion Rate Optimization Specialist,Twilio,Remote - US,https://job-boards.greenhouse.io/twilio/jobs/7463712,
